Percentage served,Time in ms
0,1928.581
1,1957.005
2,1958.987
3,2057.167
4,2135.350
5,2176.195
6,2183.074
7,2227.230
8,2244.413
9,2294.325
10,2365.782
11,2446.773
12,2528.475
13,3390.812
14,3601.610
15,3710.112
16,3712.583
17,3726.718
18,4181.735
19,4724.781
20,4815.928
21,5224.534
22,5530.687
23,5590.428
24,5791.239
25,6874.537
26,6908.092
27,6928.691
28,7502.950
29,7922.035
30,9268.190
31,9564.453
32,9874.805
33,9894.200
34,10657.730
35,11783.001
36,11852.930
37,11924.931
38,11971.420
39,12004.044
40,12100.639
41,12143.710
42,12186.252
43,12188.497
44,12189.797
45,12280.954
46,12282.300
47,12305.635
48,12320.507
49,12337.852
50,12343.336
51,12417.532
52,12430.632
53,12432.509
54,12437.044
55,12472.526
56,12493.753
57,12493.777
58,12521.623
59,12569.912
60,12577.794
61,12608.892
62,12637.113
63,12672.437
64,12720.728
65,12815.510
66,12820.139
67,12823.144
68,12880.916
69,12890.695
70,12908.622
71,13254.478
72,13361.773
73,13423.775
74,13527.252
75,13548.389
76,13595.464
77,13619.596
78,13733.578
79,13760.359
80,13782.799
81,13805.152
82,13812.393
83,13831.166
84,13883.229
85,13884.434
86,13948.907
87,14052.740
88,14060.706
89,14061.708
90,14136.211
91,14249.704
92,14300.255
93,14459.317
94,14518.947
95,14538.543
96,14564.330
97,14603.745
98,15649.492
99,15843.363
